stt,title,dicrector_id,director,cast,country,release_year,rating,số đánh giá,content rating,listed_in,CIRCULATE,target,content_rating
169,ĐẢO ĐỘC ĐẮC,D071,Lê Bình Giang,"SAM, Hoa Hậu Tiểu Vy, Phương Lan, Trần Nghĩa, Trần Phong, Minh Dự, Tân Trề, Lê Huỳnh, Hoàng Yến Chibi, Steven Nguyễn",Việt Nam,2022,5.1,291,T18,Horror,release,Low,8
170,Lật Mặt 6: Tấm Vé Định Mệnh,D084,Lý Hải,"Trung Dung, Huy Khanh, Diep Bao Ngoc",Việt Nam,2023,6.4,323,T16,"Action, Comedy, Drama",release,Low,6
171,Maika: Cô Bé Đến Từ Hành Tinh Khác,D040,Hàm Trần,"Tom Dang, Dom Dinh, Elyse Dinh",Việt Nam,2022,5.5,123,P,"High - Concept Comedy, Adventure, Comedy, Family",release,Low,4
173,Siêu Sao Siêu Ngố,D036,Đức Thịnh,"Trường Giang, Nguyễn Hà My, Đức Thịnh",Việt Nam,2018,4.7,98,T13,"Comedy, Romance",release,Low,5
176,Sáng Đèn,D045,Hoàng Tuấn Cường,"Huu Chau, Cao Minh Dat, Bach Cong Khanh",Việt Nam,2024,7.0,26,K,"Comedy, Romance",release,Low,2
177,Bệnh Viện Ma,D164,Võ Thanh Hòa,"Tran Thanh, Hari Won, Trang Thu",Việt Nam,2016,4.4,84,Not rated,"Comedy, Horror",release,Low,3
178,Đôi Mắt Âm Dương,D106,Nguyễn Nhật Trung,"Huynh An, Huu Chau, Ngan Chi",Việt Nam,2020,4.7,59,T18,"Comedy, Drama, Fantasy, Horror",release,Low,8
179,Tèo em,D016,Charlie Nguyễn,Johnny Trí Nguyễn; Thái Hòa; Ninh Dương Lan Ngọc; Yaya Trương Nhi; Ngọc Tưởng; Hữu Châu; Thân Thúy Hà,Việt Nam,2013,6.6,349,T16,"Adventure, Comedy, Drama",release,Low,6
180,Cha và con và...,D126,Phan Đăng Di,"Đỗ Thị Hải Yến, Hà Phong Nguyễn, Hoàng Lê Công",Việt Nam,2015,6.2,438,Not rated,"Crime, Drama",release,Low,3
181,Mến Gái Miền Tây,D163,Võ Đăng Khoa,"Lê Giang, Hoài Linh, Võ Đăng Khoa",Việt Nam,2022,5.7,11,T18,"Drama, Short",release,Low,8
182,Ngày mai mai cưới,D112,Nguyễn Tấn Phước,"Diệu Nhi, Vinh Râu, Thái Vũ, Huỳnh Phương, Trung Dân, Cát Phượng",Việt Nam,2017,4.9,3480,T13,"Comedy, Romance",release,Low,5
183,Anh Trai Yêu Quái,D166,Vũ Ngọc Phượng,"Kiều Minh Tuấn, Issac, Diệu Nhi",Việt Nam,2019,7.0,107,T13,"Comedy, Drama",release,Low,5
184,Tháng Năm Rực Rỡ,D108,Nguyễn Quang Dũng,"Hồng Anh, Hoàng Yến Chibi, Thanh Hằng",Việt Nam,2018,7.2,513,T16,"Comedy, Drama",release,Low,6
185,Ông Ngoại Tuổi 30,D164,Võ Thanh Hòa,fsi,Việt Nam,2018,6.5,81,T13,"Comedy, Family, Romance",release,Low,5
186,Vệ Sĩ Sài Gòn,D059,Ken Ochiai,"Thai Hoa, Kim Ly, Chi Pu",Việt Nam,2016,4.9,379,Not rated,"Action, Adventure, Comedy",release,Low,3
188,Oan Hồn,D162,Victor Vũ,"Catherine Ai, Tang Hue Chi, Tuan Cuong",Việt Nam,2004,5.5,241,Not rated,"Horror, Thriller",release,Low,3
189,Lời Kết Bạn Chết Chóc,D131,Roland Nguyen,"Thanh Duy, Dam Phuong Linh, Binh Ly",Việt Nam,2018,6.2,50,T16,"Supernatural Horror, Horror, Mystery, Thriller",release,Low,6
190,Ngôi Nhà Trong Hẻm,D079,Lê Văn Kiệt,"Veronica Ngo, Son Bao Tran, Van Hai Bui",Việt Nam,2012,5.2,261,T16,Horror,release,Low,6
191,Cánh đồng hoang,D096,Nguyễn Hồng Sen,"Toi Lam, Thuy An Nguyen, De Xuan",Việt Nam,1979,7.1,171,Not rated,"Drama, War",release,Low,3
194,Đẹp Từng Centimet,D165,Vũ Ngọc Đãng,"Lương Mạnh Hải, Tăng Thanh Hà",Việt Nam,2009,5.2,39,P,"Hài Kịch, Lãng Mãn",release,Low,4
195,Gái Già Lắm Chiêu V,D089,Nam Cito,Hoang DungKhanh LeKaity Nguyen,Việt Nam,2021,4.8,219,T16,Drama,release,Low,6
196,Truyện Ngắn,D015,Cao Trung Hiếu,"Phuong Anh Dao, Ngo Vi Duc, Vo Dien Gia Huy",Việt Nam,2019,6.0,18,T16,"Music, Romance",release,Low,6
198,Nhà Ma Xó,D157,Trương Dũng,"Huynh Dong, Nghe Si Thanh Hang, Hoang Kim Ngoc",Việt Nam,2025,7.2,408,T16,"Supernatural Horror, Comedy, Horror",release,Low,6
199,Bạn Gái Tôi Là Sếp,D040,Hàm Trần,"Do An, Pho Dac Biet, An Do",Việt Nam,2017,6.0,58,T13,"Comedy, Romance",release,Low,5
200,Đích Tôn Độc Đắc,D147,Trần Ngọc Giàu,"Hoài Linh, Bạch Công Khanh, Thanh Vy, Celina Huỳnh, Lê Lộc",Việt Nam,2018,4.0,4,T13,"Drama, Romance",release,Low,5
201,Vong Nhi,D045,Hoàng Tuấn Cường,"Quoc Huy, Hanh Thuy Ngo Pham, Kim Anh Nhat",Việt Nam,2023,4.8,114,T16,"Drama, Horror, Thriller",release,Low,6
203,Lật Mặt 5: 48H,D084,Lý Hải,"Le Ha Anh, Tiet Cuong, Huynh Dong",Việt Nam,2021,5.3,156,T18,"Action, Comedy",release,Low,8
204,Vòng Eo 56,D165,Vũ Ngọc Đãng,"Vinh Khoa Ho, Manh Hai Luong, Petey Majik Nguyen",Việt Nam,2016,5.7,43,Not rated,Drama,release,Low,3
205,Hương Ga,D092,Ngô Quốc Cường,"Truong Ngoc Anh, Chi Bao, Huynh Anh Lê",Việt Nam,2014,5.5,141,T16,"Action, Crime, Drama, Thriller",release,Low,6
206,Bí Mật Của Gió,D166,Vũ Ngọc Phượng,"B Tran, Jun Vu, Quynh Chi Nguyen",Việt Nam,2015,6.7,55,P,"Comedy, Drama, Romance",release,Low,4
207,12 Chòm Sao: Vẽ Đường Cho Yêu Chạy,D166,Vũ Ngọc Phượng,"Tran Quoc Anh, Hoang Yen Chibi, Kha Ngan",Việt Nam,2019,6.7,43,Not rated,Drama,release,Low,3
208,Cưới Ngay Kẻo Lỡ,D016,Charlie Nguyễn,"Johnny Tri Nguyen, Ngoc Diep, Thai Hoa",Việt Nam,2012,6.0,124,Not rated,"Comedy, Romance",release,Low,3
209,Rừng Thế Mạng,D146,Trần Hữu Tấn,"Thanh Truc Huynh, Tran Phong, Nguyen Thuy Anh",Việt Nam,2020,4.7,66,T16,"Adventure, Drama, Thriller",release,Low,6
210,Đời Cho Ta Bao Lần Đôi Mươi,D161,Văn Anh,"Van Anh, Bang Di, Vinh Khoa Ho",Việt Nam,2017,5.6,29,T13,"Comedy, Romance",release,Low,5
211,Lục Vân Tiên: Tuyệt Đỉnh Kungfu,D044,Hoàng Phúc,"Andreas Nguyen, Diep Lam Anh, Lorenz Hideyoshi Ruwwe",Việt Nam,2017,6.4,53,T13,"Action, Comedy",release,Low,5
212,Sắc đẹp dối trá,D057,Kay Nguyễn,"Hương Giang, Tuấn Trần, Puka, NSƯT Kim Xuân, Phát La,.…",Việt Nam,2020,5.9,38,T16,"Comedy, Action",release,Low,6
214,Em Là Của Em,D078,Lê Thiện Viễn,"Vi Van Hua, Ngo Kien Huy, Maya",Việt Nam,2021,5.2,36,T16,"Comedy, Romance",release,Low,6
216,Truy Sát,D092,Ngô Quốc Cường,"Truong Ngoc Anh, Thiên Nguyen, Lâm Vissay",Việt Nam,2016,5.7,94,T16,Action,release,Low,6
217,Hồn Papa Da Con Gái,D059,Ken Ochiai,"Lê Bình, Phuong Anh Dao, My Duyen",Việt Nam,2018,6.0,223,T16,"Comedy, Drama, Fantasy",release,Low,6
218,Cô Ba Sài Gòn,D057,Kay Nguyễn,"Ninh Duong Lan Ngoc, Hong Van, Veronica Ngo",Việt Nam,2017,6.5,499,P,"High-Concept Comedy, Period Drama, Comedy, Drama, Fantasy",release,Low,4
219,Em Và Trịnh,D127,Phan Gia Nhật Linh,"Hoang Ha, Ha Quoc Hoang, Nguyen Le Viet Hung",Việt Nam,2022,6.2,227,T13,"Drama, Musical, Romance",release,Low,5
220,Cô Dâu Đại Chiến,D162,Victor Vũ,"Huy Khánh, Ngọc Diệp, Ngân Khánh, Vân Trang, Lê Khánh, Phi Thanh Vân,",Việt Nam,2011,6.0,264,T13,"Comedy, Action, Romance",release,Low,5
222,Gia Sư Nữ Quái,D070,Lê Bảo Trung,"Anh Duc, Kim Dung, Cam Lynh Duong",Việt Nam,2012,4.1,55,Not rated,"Comedy, Drama, Music",release,Low,3
223,Găng Tay Đỏ,D114,Nguyễn Tuấn Anh,"Johnny J.P. Bourget, Leon Bown, Tran Ngoc Linh Chi",Việt Nam,2016,5.4,43,T16,Action,release,Low,6
224,Anh Em Siêu Quậy,D070,Lê Bảo Trung,"Pham Duy Anh, Trinh Kim Chi, Ha Viet Dung",Việt Nam,2017,5.9,12,Not rated,"Comedy, Family",release,Low,3
225,"Chau, Beyond the Lines",D018,Courtney Marsh,,"Việt Nam, Mỹ",2015,7.0,320,Not rated,"Biography, Documentary, Short, War",release,Low,3
226,Chuyện Tình Xa Xứ,D162,Victor Vũ,"Binh Minh, Huy Khanh, Kathy Uyen","Việt Nam, Mỹ",2009,6.5,180,T13,Romance,release,Low,5
227,Along the Sea,D005,Akio Fujimoto,"Phuong Hoang, Anh Huynh Tuyet, Nhu Quynh Nguyen Linh","Việt Nam, Nhật Bản",2020,6.9,45,Not rated,Drama,release,Low,3
229,Cô Gái Đến Từ Đắk Lắk,D017,Chi Mai,"Suong, Hanh Ruby, Tran Thi Thanh Truc",Việt Nam,2022,6.8,60,Not rated,Drama,release,Low,3
230,Để Mai Tính,D016,Charlie Nguyễn,"Dustin Nguyen, Kathy Uyen, Thai Hoa",Việt Nam,2010,6.6,465,T13,"Comedy, Romance",release,Low,5
232,Sơn Tùng M-TP: Sky Tour Movie,D133,Sơn Tùng M-TP,Son Tung M-TP,Việt Nam,2020,5.8,1074,P,"Documentary, Music",release,Low,4
233,Lật Mặt 3: Ba Chàng Khuyết,D084,Lý Hải,"Huy Khanh, Song Luan, Pornnappan Pornpenpipat",Việt Nam,2018,5.8,104,T13,"Action, Comedy",release,Low,5
234,Hạnh Phúc Của Mẹ,D048,Huỳnh Đông,"Lam Vinh Hai, Do Duy Khai, Thanh Loc",Việt Nam,2019,5.7,37,P,"Drama, Family",release,Low,4
235,Là Mây Trên Bầu Trời Của Ai Đó,D110,Nguyễn Quang Tâm,"Puttichai Kasetsin, Vachiravit Paisarnkulwong, Trinh Tu Trung",Việt Nam,2022,5.7,15,T13,"Comedy, Romance",release,Low,5
236,Bóng Ma Học Đường,D070,Lê Bảo Trung,"Ngoc Diep, Hoài Linh, Hoang Phuc Nguyen",Việt Nam,2011,3.6,42,Not rated,"Comedy, Horror",release,Low,3
237,Cù Lao Xác Sống,D116,Nhất Trung,"Huynh Dong, Le Loc, Xuan Nghi",Việt Nam,2022,2.0,173,T18,"Drama, Horror, Thriller",release,Low,8
238,Thương Nhớ Đồng Quê,D026,Đặng Nhật Minh,"Tat Binh Dang, Yen Hoang, Vân Lê",Việt Nam,1995,7.4,180,Not rated,"Drama, Romance",release,Low,3
239,100 Ngày Bên Em,D166,Vũ Ngọc Phượng,"Jun Pham, Kha Ngan, B Tran",Việt Nam,2018,7.0,85,T13,"Comedy, Drama, Romance",release,Low,5
240,VÔ DIỆN SÁT NHÂN,D028,Đinh Công Hiếu,"Phương Anh Đào, Quách Ngọc Tuyên, Hiếu Nguyễn, Oanh Kiều",Việt Nam,2022,5.0,52,T18,Horrified,release,Low,8
241,Nụ Hôn Thần Chết,D108,Nguyễn Quang Dũng,"Johnny Tri Nguyen, Thanh Hang, Thanh Loc",Việt Nam,2008,6.1,221,Not rated,"Comedy, Fantasy, Romance",release,Low,3
242,Gái Già Lắm Chiêu,D089,Nam Cito,"Huu Chau, Viet Huong, Lap Huynh",Việt Nam,2016,4.0,140,Not rated,"Comedy, Drama",release,Low,3
244,"Taxi, Em Tên Gì?",D036,Đức Thịnh,"Trường Giang , Angela Phương Trinh, Khánh Hiền",Vietnam,2016,5.4,58,T13,"Romantic Comedy / Road-trip Comedy (Vietnamese film, comedy, romance)",release,Low,5
245,Về Quê Ăn Tết,D093,Ngô Thanh Vân,Ngô Thanh Vân; Jun Phạm; Trung Dân,Việt Nam,2018,4.4,51,T13,"adventure,comedy, family",release,Low,5
246,Trường Học Bá Vương,D023,Duy Joseph,"Lê Hà Anh, Graham Bui, Ngọc Thanh Tâm",Việt Nam,2018,6.7,60,T16,"Action, comedy",release,Low,6
247,Chị Mười Ba: 3 Ngày Sinh Tử,D164,Võ Thanh Hòa,"Thu Trang, Tiến Luật, Kiều Minh Tuấn, Phát La",Việt Nam,2022,6.0,43,T18,"Hành động, Tội phạm, Hài",release,Low,8
248,Ống Kính Sát Nhân,D098,Nguyễn Hữu Hoàng,"Hứa Vĩ Văn, Diễm My 9x, Khương Ngọc",Việt Nam,2018,6.5,48,T18,"Psychological, Crime",release,Low,8
250,Chàng Trai Năm Ấy,D109,Nguyễn Quang Huy,"Sơn Tùng M-TP, Hari Won, Ngô Kiến Huy",Việt Nam,2014,6.2,10511,T13,"Comedy, Romance, Music",release,Low,5
251,Chạy Đi Rồi Tính,D089,Nam Cito,"Diễm My 9x, Hứa Vĩ Văn, Việt Hương",Việt Nam,2016,4.9,59,T16,"Comedy, Family",release,Low,6
252,Những người viết huyền thoại,D012,Bùi Tuấn Dũng,"Trương Minh Quốc Thái, Tăng Bảo Quyên, NSƯT Hoàng Hải",Việt Nam,2013,6.0,71,T13,"Action, History, War",release,Low,5
253,Phát Tài,D070,Lê Bảo Trung,"Trương Ngọc Ánh, Kim Thư, Nguyễn Chánh Tín, Hoài Linh",Việt Nam,2008,5.5,7,Not rated,Comedy,release,Low,3
254,Trạng Tí Phiêu Lưu Ký,D127,Phan Gia Nhật Linh,"Hữu Khang, Hoàng Long, Mona Bảo Tiên",Việt Nam,2022,4.6,63,P,"Family, Adventure",release,Low,4
255,Nhà Không Bán,D045,Hoàng Tuấn Cường,"Việt Hương, NSND Kim Xuân, Minh Hoàng, Bạch Công Khanh, Nam Em",Việt Nam,2022,6.5,34,T18,"Horror, Comedy",release,Low,8
256,Tháng 5 Để Dành,D164,Võ Thanh Hòa,"Hứa Vĩ Văn, Thu Trang, Kiều Minh Tuấn, Tiến Luật",Việt Nam,2022,7.2,94,T16,"Action, Comedy",release,Low,6
257,Sám Hối,D119,Peter Hein,"Bình Minh, Anh Thư, Việt Hương, Khả Ngân, Kiran Hein",Việt Nam,2021,6.6,13,T18,"Action, Drama, Family",release,Low,8
258,NĂM MƯỜI,D138,Tấn Hoàng Thông,"Huỳnh Tú Uyên, Trần Vân Anh, Trần Phong, Nam Nam, Vương Thanh Tùng, Hồ Quang Mẫn, Nguyễn Trung Huy, Hoa Thảo, Raman Quốc Cường",Việt Nam,2025,3.5,151,T18,"Thriller, Horror",release,Low,8
261,Kiều @,D034,Đỗ Thành An,"Phan Thị Mơ, Mạnh Lân, Cao Thái Hà",Việt Nam,2020,4.8,10,T18,Drama,release,Low,8
262,Em là bà nội của anh,D127,Phan Gia Nhật Linh,"Miu Lê, Ngô Kiến Huy, Hứa Vĩ Văn",Việt Nam,2015,6.9,567,T13,"Drama, Comedy",release,Low,5
263,"Yêu Đi, Đừng Sợ!",D135,Stephance Gauger,"Lê Hà ANh, Ngô Kiến Huy, Nhã Phương",Việt Nam,2017,6.2,53,T13,Drama,release,Low,5
266,Nghề Siêu Dễ,D164,Võ Thanh Hòa,"Hứa Vĩ Văn, Thu Trang, Kiều Minh Tuấn, Tiến Luật",Việt Nam,2022,4.7,112,T16,"Action, Comedy",release,Low,6
268,‘EM’ LÀ CỦA EM,D078,Lê Thiện Viễn,"Ngô Kiến Huy, Jessica Hoàng Anh, Maya, Khả Như, Hứa Vĩ Văn, Hoàng Phi, Đại Nghĩa, Lê Giang…",Việt Nam,2021,6.2,62,T17,"Comedy, Romance",release,Low,7
270,Ký ức Điện Biên,D033,Đỗ Minh Tuấn,"Phạm Quang Ánh, Kiều Anh, Lê Nuôi, Isaack Lê",Việt Nam,2004,6.6,21,P,"History, War",release,Low,4
271,Giao Lộ Định Mệnh,D162,Victor Vũ,"Trần Bảo Sơn, Vũ Thu Phương",Việt Nam,2010,6.3,61,Not rated,"Psychological, Thriller",release,Low,3
273,Âm mưu giày gót nhọn,D040,Hàm Trần,"Kathy Uyên, Trần Hàm, Timothy Linh Bùi",Việt Nam,2013,4.9,173,T16,Drama,release,Low,6
275,Quyên,D107,Nguyễn Phan Quang Bình,"Vũ Ngọc Anh, Trần Bảo Sơn, David Trần",Việt Nam,2015,6.2,93,Not rated,Drama,release,Low,3
276,Thung Lũng Hoang Vắng,D122,Phạm Nhuệ Giang,"Hồng Ánh, Nguyễn Hậu, Trung Dũng, Tuyết Hạnh",Việt Nam,2001,7.3,86,Not rated,Drama,release,Low,3
278,Kung Fu Phở,D111,Nguyễn Quốc Duy,"Diễm My 9x, Linh Sơn, NSƯT Mỹ Duyên",Việt Nam,2015,4.8,38,T13,"Comedy, Action",release,Low,5
281,Bury Us in a Lone Desert,D044,Hoàng Phúc,"Lưu Đức Cường, Psycho Neo, Nguyễn Đình Quang",Việt Nam,2025,6.6,9,Not rated,Western,release,Low,3
282,Cú và Chim Se Sẻ,D135,Stephane Gauger,"Phạm Thị Hân, Lê Thế Lữ, Cát Ly",Việt Nam,2007,7.4,980,Not rated,Drama,release,Low,3
286,Linh Miêu: Quỷ Nhập Tràng,D082,Lưu Thành Luân,"Hồng Đào, Thiên An, Thuỳ Tiên, Văn Anh",Việt Nam,2024,5.4,68,T18,Horror,release,Low,8
287,Người Lắng Nghe: Lời Thì Thầm,D061,Khoa Nguyễn,"Quang Sự, Oanh Kiều, Phạm Quỳnh Anh",Việt Nam,2022,5.2,51,T18,"Suspense, Psychology",release,Low,8
290,HAI MUỐI,D167,Vũ Thành Vinh,"NSND Hồng Vân, NSND Việt Anh, Quyền Linh, NSƯT Công Ninh, diễn viên Minh Luân, Trần Kim Hải, Huỳnh Bảo Ngọc, Tú Tri, Năm Chà,...",Việt Nam,2024,7.4,1260,T13,"Family, Psychology",release,Low,5
292,Hãy Tỉnh Thức & Sẵn Sàng,D123,Phạm Thiên Ân,"Vũ Trọng Tuyên, Trung Đồng Cao","Việt Nam, Hàn Quốc, Hoa Kỳ",2019,6.9,526,Not rated,"Short Films, Drama",release,Low,3
293,Lời Nguyền Huyết Ngải,D011,Bùi Thạc Chuyên,"NSƯT Thành Lộc, Phan Anh, Yu Dương",Việt Nam,2012,6.5,104,Not rated,Horror,release,Low,3
294,Kiều,D086,Mai Thu Huyền,"Trịnh Mỹ Duyên, Lê Anh Huy, Cao Thái Hà",Việt Nam,2021,4.3,92,T18,"Historical, Drama",release,Low,8
295,Bắc Kim Thang,D146,Trần Hữu Tấn,"Duy Phương, Trịnh Tài, Bích Hằng",Việt Nam,2019,5.3,140,T18,"Horror, Psychological",release,Low,8
297,Quý Cô Thừa Kế,D042,Hoàng Duy,"Trang Nhung, Huy Khánh, Lâm Vỹ Dạ, Hứa Minh Đạt",Việt Nam,2024,5.5,43,T13,"Comedy, Romance",release,Low,5
298,Án Mạng Lầu 4,D101,Nguyễn Hữu Tuấn,"Trương Thế Vinh, Lương Bích Hữu",Việt Nam,2024,6.3,28,T16,"Thriller, Crime",release,Low,6
